LINK,sector,name,code
https://www.moneycontrol.com/india/stockpricequote/computerssoftware/cyient/IE07,computerssoftware,IE07,cyient
https://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI,personalcare,DI,daburindia
https://www.moneycontrol.com/india/stockpricequote/cementmajor/dalmiabharat/OCL,cementmajor,OCL,dalmiabharat
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dbcorp/C13,mediaentertainment,C13,dbcorp
https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/dcbbank/DCB01,banksprivatesector,DCB01,dcbbank
https://www.moneycontrol.com/india/stockpricequote/diversified/dcmshriram/DCM02,diversified,DCM02,dcmshriram
https://www.moneycontrol.com/india/stockpricequote/fertilisers/deepakfertilizerspetrochemicalscoprn/DFP,fertilisers,DFP,deepakfertilizerspetrochemicalscoprn
https://www.moneycontrol.com/india/stockpricequote/chemicals/deepaknitrite/DN,chemicals,DN,deepaknitrite
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/deltacorp/DC11,constructioncontractingrealestate,DC11,deltacorp
https://www.moneycontrol.com/india/stockpricequote/financehousing/dewanhousingfinancecorporation/DHF,financehousing,DHF,dewanhousingfinancecorporation
https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/dhanukaagritech/DA01,pesticidesagrochemicals,DA01,dhanukaagritech
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/dilipbuildcon/DB04,constructioncontractingcivil,DB04,dilipbuildcon
https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dishtvindia/DTV,mediaentertainment,DTV,dishtvindia
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/dishmancarbogenamcis/DCA,miscellaneous,DCA,dishmancarbogenamcis
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03,pharmaceuticals,DL03,divislaboratories
https://www.moneycontrol.com/india/stockpricequote/electricals/dixontechnologies/DT07,electricals,DT07,dixontechnologies
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dlf/D04,constructioncontractingrealestate,D04,dlf
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drlalpathlabs/DLP01,pharmaceuticals,DLP01,drlalpathlabs
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL,pharmaceuticals,DRL,drreddyslaboratories
https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/eclerxservices/eS06,computerssoftwaremediumsmall,eS06,eclerxservices
