Link,Market Cap (Rs Cr.),P/E,Book Value (Rs),Dividend (%),Market Lot,Industry P/E,EPS (TTM),P/C,Price/Book,Dividend Yield.(%),Face Value (RS),Deliverables (%)
https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/responsiveindustries/SH10,"2,161.99",101.5,23.97,12.00,1,20.64,0.8,26.19,3.38,0.15,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
5.34


5-Day
6.28


8-Day
7.14





9.93
"
https://www.moneycontrol.com/india/stockpricequote/diversified/rites/R02,"5,970.00",9.99,95.35,127.50,1,11.70,23.87,9.48,2.50,5.34,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
31.45


5-Day
31.83


8-Day
41.75





24.33
"
https://www.moneycontrol.com/india/stockpricequote/chemicals/shkelkarcompany/KC17,690.35,19.48,41.98,0.00,1,34.89,2.51,13.62,1.16,-,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
58.32


5-Day
57.78


8-Day
45.07





56.47
"
https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/sadbhavengineering/SE19,"1,021.70",9.64,118.53,100.00,1,13.43,6.17,5.06,0.50,1.68,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
61.19


5-Day
63.79


8-Day
61.45





100.00
"
https://www.moneycontrol.com/india/stockpricequote/steellarge/steelauthorityindia/SAI,"11,400.25",-,92.36,5.00,1,4.00,-,3.63,0.30,1.81,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
15.30


5-Day
13.45


8-Day
17.25





15.39
"
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sanofiindia/AP26,"18,378.44",44.37,1060.47,3490.00,1,35.58,179.85,35.75,7.52,4.37,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
50.54


5-Day
65.42


8-Day
59.29





50.09
"
https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/statebankindia/SBI,"148,773.27",12.68,219.91,0.00,1,93.68,13.16,9.96,0.76,-,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
23.71


5-Day
25.73


8-Day
28.64





20.84
"
https://www.moneycontrol.com/india/stockpricequote/diversified/sbilifeinsurancecompany/SLI03,"74,301.95",52.36,89.98,20.00,1,62.89,14.22,52.36,8.26,0.27,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
48.03


5-Day
43.89


8-Day
48.30





49.94
"
https://www.moneycontrol.com/india/stockpricequote/bearings/schaefflerindia/FAG,"10,295.88",28.06,947.57,350.00,1,25.74,117.6,19.6,3.48,1.06,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
77.84


5-Day
73.28


8-Day
73.46





79.28
"
https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/schneiderelectricinfrastructure/SEI04,"1,778.93",-,0.98,0.00,1,37.18,-,75.82,75.92,-,2.00,"
 

DELIVERY AVERAGES (%)



3-Day
24.36


5-Day
23.92


8-Day
26.12





26.76
"
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/shankarabuildingproducts/SBP02,549.53,25.36,141.69,15.00,1,21.37,9.52,17.93,1.70,0.62,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
51.52


5-Day
43.97


8-Day
57.55





53.79
"
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/sheelafoam/SF14,"6,658.85",38.56,137.15,0.00,1,20.88,35.49,32.69,9.95,-,5.00,"
 

DELIVERY AVERAGES (%)



3-Day
51.17


5-Day
44.61


8-Day
45.38





57.34
"
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/shilpamedicare/SM19,"2,934.97",19.15,157.19,100.00,1,35.58,18.71,15.4,2.29,0.28,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
70.38


5-Day
63.25


8-Day
67.95





74.60
"
